title,url,rating,reviews,price,quantity,productName
,,,,,,
"Kapiva 100% Organic Aloe Vera (USDA) + Amla Juice Boosts Immunity - No Added Sugar, 1 L",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02849631YKNBK0V0L0QT&url=%2FKapiva-Organic-Juice-Boosts-Immunity%2Fdp%2FB07B2VC3VQ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dorganic%26qid%3D1593851957%26refinements%3Dp_72%253A1318476031%26sr%3D8-1-spons%26psc%3D1&qualifier=1593851957&id=6307843969236574&widgetName=sp_atf,4.0 out of 5 stars,236,450,100%,Kapiva 100%
,,,,,,
"Coombs Family Farms Organic Maple Syrup, 8 Fl Oz",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0342593L3B9UPJF8MKQ&url=%2FCoombs-Family-Farms-Organic-Maple%2Fdp%2FB005KU83SQ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dorganic%26qid%3D1593851957%26refinements%3Dp_72%253A1318476031%26sr%3D8-2-spons%26psc%3D1&qualifier=1593851957&id=6307843969236574&widgetName=sp_atf,4.0 out of 5 stars,56,920,8 Fl Oz,Coombs Family
,,,,,,
"Organic India Tulsi Mulethi, 25 Tea Bags",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02675042G86H3FKLUZU1&url=%2FOrganic-India-Tulsi-Mulethi-Bags%2Fdp%2FB077RZHT6F%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dorganic%26qid%3D1593851957%26refinements%3Dp_72%253A1318476031%26sr%3D8-3-spons%26psc%3D1&qualifier=1593851957&id=6307843969236574&widgetName=sp_atf,4.5 out of 5 stars,598,148,25 Tea,Organic India
,,,,,,
"Kapiva 100% Organic Aloe Vera (USDA) + Garcinia Juice Aids Weight Loss - No Added Sugar, 1 L",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06429189P44XENV95GY&url=%2FKapiva-Organic-Garcinia-Juice-Weight%2Fdp%2FB07BBMBJ4C%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dorganic%26qid%3D1593851957%26refinements%3Dp_72%253A1318476031%26sr%3D8-4-spons%26psc%3D1&qualifier=1593851957&id=6307843969236574&widgetName=sp_atf,4.1 out of 5 stars,126,430,100%,Kapiva 100%
,,,,,,
Organic India the Tulsi Original - 100 G,/Organic-India-Tulsi-Original-100/dp/B07B61GM2C/ref=sr_1_5?dchild=1&keywords=organic&qid=1593851957&refinements=p_72%3A1318476031&sr=8-5,4.4 out of 5 stars,847,190,100 G,Organic India
,,,,,,
"Indus Valley Bio Organic Non-Toxic Aloe Vera Gel for Acne, Scars, Glowing & Radiant Skin Treatment-175ml",/Indus-Valley-Organic-Non-Toxic-Treatment-175ml/dp/B075HVLCB8/ref=sr_1_6?dchild=1&keywords=organic&qid=1593851957&refinements=p_72%3A1318476031&smid=A3QVIKTRGLR5OU&sr=8-6,4.2 out of 5 stars,"2,705",189,,Indus Valley
,,,,,,
WOW Life Science Organic Apple Cider Vinegar - with strand of mother - not from concentrate – 750 ml,/WOW-Raw-Apple-Cider-Vinegar/dp/B01AC9G656/ref=sr_1_7?dchild=1&keywords=organic&qid=1593851957&refinements=p_72%3A1318476031&smid=AT95IG9ONZD7S&sr=8-7,4.2 out of 5 stars,"8,278",459,750 ml,WOW Life
,,,,,,
